  2.849282] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.067284] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.073767] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.080253] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.086732] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.093239] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.099721] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.106210] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.112685] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.119166] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.125636] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.132128] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.138605] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.145084] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.151552] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.158040] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.164508] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.170991] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.177465] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.183942] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.190411] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.196881] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.203353] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.209831] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.216317] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.222790] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.229265] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.235734] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.242213] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.248690] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.255166] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.261636] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
