    2.003116] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.401380] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.407664] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.413954] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.420242] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.426534] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.432819] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.439112] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.445398] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.451683] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.457970] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.464260] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.470551] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.476840] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.483133] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.489428] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.495721] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.502015] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.508306] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.514596] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.520888] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.527186] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.533477] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.539769] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.546072] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.552368] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.558661] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.564954] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.571249] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.577542] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.583833] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.590134] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.596428] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.602721] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.609022] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.615323] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.621618] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.627921] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.634213] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.640509] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.646806] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.653101] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.659397] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.665690] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.671983] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.678285] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.684603] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.690895] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.697193] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.703485] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.709780] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.716074] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.722365] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.728659] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.734950] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.741244] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.747537] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.753834] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
