o_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.105545] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.112110] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.118677] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.125236] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.131804] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.138370] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.144936] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.151501] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.158074] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.164633] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.171198] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
